justice_id,abbreviation,full_name,tenure_start,tenure_end
101,LFPowell,"Powell, Lewis",1972-01-07,1987-06-26
102,WHRehnquist,"Rehnquist, William",1972-01-07,2005-09-03
103,JPStevens,"Stevens, John",1975-12-19,2010-06-29
104,SDOConnor,"O'Connor, Sandra",1981-09-25,2006-01-31
105,AScalia,"Scalia, Antonin",1986-09-26,2016-02-13
106,AMKennedy,"Kennedy, Anthony",1988-02-18,2018-07-31
107,DHSouter,"Souter, David",1990-10-09,2009-06-29
108,CThomas,"Thomas, Clarence",1991-10-23,
109,RBGinsburg,"Ginsburg, Ruth",1993-08-10,2020-09-18
110,SGBreyer,"Breyer, Stephen",1994-08-03,2022-06-30
111,JGRoberts,"Roberts, John",2005-09-29,
112,SAAlito,"Alito, Samuel",2006-01-31,
113,SSotomayor,"Sotomayor, Sonia",2009-08-08,
114,EKagan,"Kagan, Elena",2010-08-07,
115,NMGorsuch,"Gorsuch, Neil",2017-04-08,
116,BMKavanaugh,"Kavanaugh, Brett",2018-10-06,
117,ACBarrett,"Barrett, Amy",2020-10-27,
118,KBJackson,"Jackson, Ketanji",2022-06-30,
